evaluations,coverageProp
10,0.06481481481481481
20,0.12037037037037036
30,0.1574074074074074
40,0.18518518518518517
50,0.2222222222222222
60,0.2222222222222222
70,0.24074074074074073
80,0.25925925925925924
90,0.2962962962962963
100,0.3148148148148148
110,0.3333333333333333
120,0.3333333333333333
130,0.3611111111111111
140,0.37962962962962965
150,0.3888888888888889
160,0.4074074074074074
170,0.4166666666666667
180,0.42592592592592593
190,0.4351851851851852
200,0.4351851851851852
210,0.4444444444444444
220,0.4537037037037037
230,0.46296296296296297
240,0.4722222222222222
250,0.4722222222222222
260,0.49074074074074076
270,0.49074074074074076
280,0.49074074074074076
290,0.49074074074074076
300,0.5
