NAME,TESTTAG,T1_TIME_MIDPOINT_MEAN,T2_TIME_LENGTH_MEAN,T3_TIME_MIDPOINT_VAR,P1_PARAMETER_MEAN,P2_PARAMETER_VARIANCE,O0_TOTAL_COUNT,O1_FUZZRANGE_COUNT,O2_DELAY_COUNT,O3_DELETION_COUNT,METRIC_Q
Test_091_20_06_2023_15_46_06,0,0.6277215206577016,0.0049964699072587715,0.0,0.09020802443521123,0.0,1.0,1.0,0.0,0.0,0.2
Test_092_20_06_2023_15_46_06,0,0.1364616041914523,0.16474253083465049,0.0,0.01330126485758763,0.0,1.0,1.0,0.0,0.0,0.6818181818181818
Test_093_20_06_2023_15_46_06,0,0.6037510890207397,0.5438947944625749,0.0,0.8909846931524662,0.0,1.0,1.0,0.0,0.0,0.8909090909090909
Test_094_20_06_2023_15_46_06,0,0.6277215206577016,0.0049964699072587715,0.0,0.17286143911513935,0.0,1.0,1.0,0.0,0.0,0.20454545454545456
Test_095_20_06_2023_15_46_06,0,0.6277215206577016,0.0049964699072587715,0.0,0.577595231389813,0.0,1.0,1.0,0.0,0.0,0.20909090909090908
Test_096_20_06_2023_15_46_06,0,0.1364616041914523,0.16474253083465049,0.0,0.5189570469652552,0.0,1.0,1.0,0.0,0.0,0.6318181818181818
Test_097_20_06_2023_15_46_06,0,0.6357970697879581,0.7258108873242333,0.0,0.11948400711946805,0.0,1.0,1.0,0.0,0.0,0.5272727272727272
Test_098_20_06_2023_15_46_06,0,0.47029759306318514,0.4073924331683275,0.007156745707101342,0.1299234987355782,0.008687176847441289,2.0,2.0,0.0,0.0,0.9318181818181818
Test_099_20_06_2023_15_46_06,0,0.5911080669234006,0.0380074859702918,0.0,0.036718472865503546,0.0,1.0,1.0,0.0,0.0,0.21363636363636362
Test_100_20_06_2023_15_46_06,0,0.8487690958770637,0.02100054983946309,0.0,0.19039529192392926,0.0,1.0,1.0,0.0,0.0,0.21818181818181817
Test_101_20_06_2023_16_00_58,0,0.6277215206577016,0.0049964699072587715,0.0,0.09020802443521123,0.0,1.0,1.0,0.0,0.0,0.22272727272727272
Test_102_20_06_2023_16_00_58,0,0.9607331811431139,0.020114045226426236,0.0,0.01330126485758763,0.0,1.0,1.0,0.0,0.0,0.22727272727272727
Test_103_20_06_2023_16_00_58,1,0.9610824737124465,4.389814140637327E-5,0.0,0.12258673792960233,0.0,1.0,1.0,0.0,0.0,0.2318181818181818
